scenario,variable,year,value,units
GCAM,C2F6_emissions,2005,1.3326894438,Gg
GCAM,C2F6_emissions,2006,1.29457473732,Gg
GCAM,C2F6_emissions,2007,1.25646003084,Gg
GCAM,C2F6_emissions,2008,1.21834532436,Gg
GCAM,C2F6_emissions,2009,1.18023061788,Gg
GCAM,C2F6_emissions,2010,1.1421159114,Gg
GCAM,C2F6_emissions,2011,1.2114970898,Gg
GCAM,C2F6_emissions,2012,1.2808782682,Gg
GCAM,C2F6_emissions,2013,1.3502594466,Gg
GCAM,C2F6_emissions,2014,1.419640625,Gg
GCAM,C2F6_emissions,2015,1.4890218034,Gg
GCAM,C2F6_emissions,2016,1.53725974892,Gg
GCAM,C2F6_emissions,2017,1.58549769444,Gg
GCAM,C2F6_emissions,2018,1.63373563996,Gg
GCAM,C2F6_emissions,2019,1.68197358548,Gg
GCAM,C2F6_emissions,2020,1.730211531,Gg
GCAM,C2F6_emissions,2021,1.77850320424,Gg
GCAM,C2F6_emissions,2022,1.82679487748,Gg
GCAM,C2F6_emissions,2023,1.87508655072,Gg
GCAM,C2F6_emissions,2024,1.92337822396,Gg
GCAM,C2F6_emissions,2025,1.9716698972,Gg
GCAM,C2F6_emissions,2026,2.01540277286,Gg
GCAM,C2F6_emissions,2027,2.05913564852,Gg
GCAM,C2F6_emissions,2028,2.10286852418,Gg
GCAM,C2F6_emissions,2029,2.14660139984,Gg
GCAM,C2F6_emissions,2030,2.1903342755,Gg
GCAM,C2F6_emissions,2031,2.22477417686,Gg
GCAM,C2F6_emissions,2032,2.25921407822,Gg
GCAM,C2F6_emissions,2033,2.29365397958,Gg
GCAM,C2F6_emissions,2034,2.32809388094,Gg
GCAM,C2F6_emissions,2035,2.3625337823,Gg
GCAM,C2F6_emissions,2036,2.39013774706,Gg
GCAM,C2F6_emissions,2037,2.41774171182,Gg
GCAM,C2F6_emissions,2038,2.44534567658,Gg
GCAM,C2F6_emissions,2039,2.47294964134,Gg
GCAM,C2F6_emissions,2040,2.5005536061,Gg
GCAM,C2F6_emissions,2041,2.52651396642,Gg
GCAM,C2F6_emissions,2042,2.55247432674,Gg
GCAM,C2F6_emissions,2043,2.57843468706,Gg
GCAM,C2F6_emissions,2044,2.60439504738,Gg
GCAM,C2F6_emissions,2045,2.6303554077,Gg
GCAM,C2F6_emissions,2046,2.65100788968,Gg
GCAM,C2F6_emissions,2047,2.67166037166,Gg
